name,slug,url,sku,price,categories,manufacturer,composition,cas_number,function,dosage_form,synonym,quality,einecs
Custom Media Package &#8211; 12 Months,custom-media-package-12-months,https://www.pharmaexcipients.com/product/custom-media-package-12-months/,PE553-1-1-2-1-1,900000,,Pharma Excipients International,N/A (not an excipient product),,,,,,
CARBOWAX™ SENTRY™ Methoxypolyethylene Glycol 550 NF,carbowax-sentry-methoxypolyethylene-glycol-550-nf,https://www.pharmaexcipients.com/product/carbowax-sentry-methoxypolyethylene-glycol-550-nf/,PE1851,0,,DOW,Methoxypolyethylene Glycol,9004-74-4,"topical, liquid oral",Liquid,Methoxy PEG-10,PEG-6 Methyl Ether; USP-NF,618-394-3
CARBOWAX™ SENTRY™ Methoxypolyethylene Glycol 350 NF,carbowax-sentry-methoxypolyethylene-glycol-350-nf,https://www.pharmaexcipients.com/product/carbowax-sentry-methoxypolyethylene-glycol-350-nf/,PE1850,0,,DOW,Methoxypolyethylene Glycol,9004-74-4,"topical, liquid oral",Liquid,Methoxy PEG-7; PEG-6 Methyl Ether,PEG-6 Methyl Ether; USP-NF,618-394-3
"CARBOWAX™ SENTRY™ Polyethylene Glycol 4000 NF, Powder (Uninhibited), Macrogol 4000 Ph. Eur. &#8211; laxative",carbowax-sentry-polyethylene-glycol-4000-nf-powder-uninhibited-macrogol-4000-ph-eur-laxative,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-4000-nf-powder-uninhibited-macrogol-4000-ph-eur-laxative/,PE1849,0,,DOW,Polyethylene Glycol,25322-68-3,laxative,powders,PEG-90,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 3350 USP Granular (Uninhibited), Macrogol 3350 Ph. Eur.",carbowax-sentry-polyethylene-glycol-3350-usp-granular-uninhibited-macrogol-3350-ph-eur-2,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-3350-usp-granular-uninhibited-macrogol-3350-ph-eur-2/,PE1848,0,,DOW,Polyethylene Glycol,25322-68-3,laxative,granular,PEG-75,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 8000 NF Flake (Inhibited), Macrogol 8000 Ph. Eur.",carbowax-sentry-polyethylene-glycol-8000-nf-flake-inhibited-macrogol-8000-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-8000-nf-flake-inhibited-macrogol-8000-ph-eur/,PE1847,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, solid oral / tablets, topical",flake,PEG-180,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 8000 NF Powder (Inhibited), Macrogol 8000 Ph. Eur.",carbowax-sentry-polyethylene-glycol-8000-nf-powder-inhibited-macrogol-8000-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-8000-nf-powder-inhibited-macrogol-8000-ph-eur/,PE1846,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, solid oral / tablets, topical",powders,PEG-180,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 8000 NF Granular (Inhibited), Macrogol 8000 Ph.Eur.",carbowax-sentry-polyethylene-glycol-8000-nf-granular-inhibited-macrogol-8000-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-8000-nf-granular-inhibited-macrogol-8000-ph-eur/,PE1845,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, solid oral / tablets, topical",granular,PEG-180,"USP-NF, Ph. Eur.",500-038-2
CARBOWAX™ SENTRY™ Polyethylene Glycol 4600 NF Granular (Inhibited),carbowax-sentry-polyethylene-glycol-4600-nf-granular-inhibited,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-4600-nf-granular-inhibited/,PE1844,0,,DOW,Polyethylene Glycol,25322-68-3,"solid oral / tablets, topical",granular,PEG-100,USP-NF,500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 4000 NF Flake (Inhibited), Macrogol 4000 Ph. Eur.",carbowax-sentry-polyethylene-glycol-4000-nf-flake-inhibited-macrogol-4000-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-4000-nf-flake-inhibited-macrogol-4000-ph-eur/,PE1843,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, topical",flake,PEG-90,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 4000 NF, Powder (Uninhibited), Macrogol 4000 Ph. Eur.",carbowax-sentry-polyethylene-glycol-4000-nf-powder-uninhibited-macrogol-4000-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-4000-nf-powder-uninhibited-macrogol-4000-ph-eur/,PE1842,0,,DOW,Polyethylene Glycol,25322-68-3,topical,powders,PEG-90,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 3350 USP Flake (Inhibited), Macrogol 3350 Ph. Eur.",carbowax-sentry-polyethylene-glycol-3350-usp-flake-inhibited-macrogol-3350-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-3350-usp-flake-inhibited-macrogol-3350-ph-eur/,PE1841,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",flake,PEG-75,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 3350 USP Granular (Inhibited), Macrogol 3350 Ph. Eur.",carbowax-sentry-polyethylene-glycol-3350-usp-granular-inhibited-macrogol-3350-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-3350-usp-granular-inhibited-macrogol-3350-ph-eur/,PE1840,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",granular,PEG-75,"USP-NF, Ph. Eur.",500-038-2
"CARBOWAX™ SENTRY™ Polyethylene Glycol 3350 USP Powder (Inhibited), Macrogol 3350 Ph. Eur.",carbowax-sentry-polyethylene-glycol-3350-usp-powder-inhibited-macrogol-3350-ph-eur,https://www.pharmaexcipients.com/product/carbowax-sentry-polyethylene-glycol-3350-usp-powder-inhibited-macrogol-3350-ph-eur/,PE1839,0,,DOW,Polyethylene Glycol,25322-68-3,"gel capsules, liquid oral, solid oral / tablets, oral health, topical",powders,PEG-75,"USP-NF, Ph. Eur.",500-038-2
